Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
Actividad Pro impide el registro exitoso del cliente.,indícanos en qué paso ocurre y qué mensaje de error se muestra en pantalla para poder orientarte con acciones específicas,Soporte,POSIBLE INTERMITENCIA,asesor
"Al usuario no le permite el acceso a Actividad Pro, a pesar de que funcionaba correctamente por la mañana.",Es necesario compartir un ticket a la OAU a traves del portal promesa ya que ellos son los unicos autorizados de brindar las altas solicitadas,Soporte,TICKET OAU,solucion
Cómo se solicita el acceso para actividad pro?,envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación,Soporte,BORRAR CACHÉ,solucion
Dar de alta en Actividad PRO a tres usuarios que se certificaron.,"Se requiere enviar un ticket a la OAU solicitando el alta, ya que ellos son los encargados de brindar el acceso.",RRHH,TICKET OAU,solucion
Dos asesoras no pueden ver el apartado 'Consultar' en la aplicación Consultapp de PowerApps.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
Dos de mis APs reportan un error al entrar a credencial digital después de haber borrado caché.,"Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
"El asesor 124672 no puede acceder a la aplicación Actividad Pro, pero sí a otras aplicaciones.",Recordemos que todo tema de Acceso es atendido por la OAU por medio de un ticket,Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
El asesor 161032 no puede acceder a Actividad Pro y le aparece un error.,El acceso al aplicativo es validado por la OAU. Se solicita la leyenda que se muestra para dar recomendaciones.,Soporte,TICKET OAU,solucion
El asesor premium no tiene acceso a Power Apps ni a Actividad Pro.,Se indica que los problemas de acceso son validados directamente con la OAU y que el caso ya fue compartido con ellos para que realicen la acción.,Soporte,TICKET OAU,solucion
El asesor reporta que sigue sin accesos para ingresar al sistema.,"Si no puedes ingresar a Actividad Pro, compártenos el mensaje de error que se muestra para poder sugerirte acciones inmediatas. Recordemos que todo tema de Acceso es atendido por la OAU por medio de un ticket",Soporte,TICKET OAU,solucion
"El asesor tiene acceso validado, pero no le aparece ninguna aplicación en el sistema para realizar su plan de gestión.","Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,ASESOR,asesor
"El cliente ya fue traspasado, pero al ingresarlo en Actividad Pro, no lo permite.","Para gestionar el alta de usuario en la aplicación Actividad PRO, por favor, envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación",Soporte,ALTA,solucion
El ejecutivo no tiene accesos a Actividad Pro 165060.,recordemos que todo tema de acceso es atendido por pa OAU a traves de un ticket,Soporte,TICKET OAU,solucion
"El portal de Profuturo no responde, requiriendo un proceso de desbloqueo.","El acceso a ambas herramientas es por medio de la OAU, levantando un ticket desde Promesa.",Soporte,TICKET OAU,solucion
El usuario debe confirmar si ya tiene acceso al sistema después de una corrección.,Recordemos que todo tema de Acceso es atendido por la OAU por medio de un ticket,Soporte,TICKET OAU,solucion
El usuario desea saber cómo solicitar acceso a una herramienta.,Se realiza por medio del portal promesa con un ticket a la OAU,Soporte,TICKET OAU,solucion
El usuario estaba experimentando un problema de acceso o visualización incorrecta en el sistema.,"Para gestionar el alta de usuario en la aplicación Actividad PRO, por favor, envía un ticket desde el portal Promesa a la OAU. Asegúrate de incluir el nombre del usuario y describir claramente el problema que estás experimentando. Si requieres un alta diferente favor de incluir el nombre de la aplicación",Soporte,TICKET OAU,solucion
El usuario experimentaba un bloqueo en un proceso que se resolvió al encontrar una CURP válida o corregida que permitió la continuación.,"se comparte liga de desbloqueo de manera manual, si el problema persiste debe compartirse uin ticket a la OAU",Soporte,TICKET OAU,solucion
El usuario experimentaba un problema de acceso o carga del sistema que impedía su operación normal.,Recordemos que todo tema de Acceso es atendido por la OAU por medio de un ticket,Soporte,TICKET OAU,solucion
