Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
"Buen día, saben si hay intermitencia en Actividad pro? quiero reagendar una cita que está en cierre y que debemos recuperar pero me marca error al momento de moverla","Para casos de recuperación, valida que el registro previo haya sido eliminado correctamente, ya que mientras exista no permitirá mover o reagendar la cita. Una vez eliminado el registro, inicia nuevamente el proceso de captura y reagendamiento.",Soporte,VALIDAR DATOS,solucion
Cuantas veces puedo editar el NRP si ya realice el cierre de la cita,"El NRP puede modificarse hasta un máximo de 3 veces desde su captura, sin importar el módulo en el que se encuentre.",Soporte,ASESOR,solucion
El asesor no puede cerrar citas en Actividad Pro.,valida el origen correcto de la cita para poder realizar el cierre,Soporte,ASESOR,solucion
El registro de afore móvil no se puede cerrar en Actividad Pro porque el sistema indica que no hay trámite identificado.,"Verificar si el origen del trámite es el correcto y qué tipo de trámite se está intentando realizar (traspaso, registro, auto traspaso, auto registro).",Soporte,VALIDAR ORIGEN,solucion
El servicio integrado en la app no permite realizar cierres a pesar de que los registros no se cancelan.,No aplica,Soporte,ASESOR,asesor
El sistema no permite cerrar un trámite porque aparece como 'trámite no identificado' a pesar de estar registrado en mesa de control.,"Para cerrar el trámite, verifica que el origen de la cita corresponda al tipo de gestión que estás realizando. Si el origen es correcto y el trámite aparece como ‘no identificado’, puede tratarse de un desfase en la sincronización; sincroniza la aplicación y vuelve a intentar el cierre más tarde o a partir de mañana después de la 1:00 p. m.",Soporte,VALIDAR ORIGEN,solucion
"El trabajador pidio reagendar su cita, debo eliminar el registro de nuevo o como edito la cita  para realizar su cierre ?","Si el trabajador solicita reagendar la cita, no es necesario eliminar el registro y puedes editarla cambiando el estatus a Seguimiento o Cierre, según aplique. Únicamente en casos de recuperación se recomienda eliminar el registro una vez que la cita esté cancelada, para iniciar nuevamente el flujo.",Soporte,VALIDAR DATOS,solucion
El usuario no puede cerrar un registro en Actividad PRO.,Se solicita validar que el tipo de origen de la cita sea el correcto.,Soporte,VALIDAR ORIGEN,solucion
El usuario no puede cerrar un trámite que no se ve reflejado en el sistema.,"Si el trámite no se ve reflejado en el sistema y no permite el cierre, puede tratarse de un desfase en la sincronización de la información. Te sugerimos sincronizar la aplicación y volver a intentar el cierre más tarde o al día siguiente después de la 1:00 p. m. así como la validación del origen de la cita",Soporte,SINCRONIZACIÓN,solucion
El usuario no puede cerrar una cita.,"Si no puedes cerrar la cita, verifica que el origen de la cita corresponda al tipo de gestión que estás realizando. Si el origen no es correcto, ajústalo y vuelve a intentar el cierre.",Soporte,VALIDAR ORIGEN,solucion
"El usuario no puede reagendar una cita en Actividad Pro que está en estado de cierre, marcando error al intentar moverla.",el deber ser es eliminar la curp y posteriormente volver a capturarla antes de realizar el tramite de recuperación,Soporte,REALIZAR REGISTRO NUEVAMENTE,solucion
