Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
"Al enviar un EDR, aparece un mensaje de error y una pantalla indicando problemas de conexión o un correo mal capturado.","Si al enviar el EDR aparece un error por conexión o correo, valida que el correo del cliente esté correctamente escrito y sin espacios. Una dirección mal capturada puede impedir el envío; corrígela y reintenta.",Soporte,VALIDAR MAIL,solucion
"Clientes de Movistar no reciben mensajes de Actividad PRO ni autenticación INE, y la alternativa de Telcel no es viable para todos.",No se identifican problemas con la recepción de SMS de Actividad PRO del lado del sistema; el problema podría ser de la compañía celular. Se recuerda la opción de envío vía Email para Actividad PRO.,Soporte,TOKEN VÍA EMAIL,solucion
"El EDR no se envía al cliente, aunque la aplicación indique que sí se envió, con hora de envío 00:00.","Valida que el correo de destino esté correctamente capturado y sin espacios, y reintenta el envío con una conexión estable. Valida la bandeja de spam y correo no deseado del cliente.",Soporte,ASESOR,solucion
"El SBC convierte automáticamente el monto a Euros, impidiendo la generación de EDR.","Se sospecha que una VPN activa o la configuración de región del dispositivo está causando que las cantidades se reconozcan en moneda extranjera. Se recomienda probar con otro dispositivo, validar que no cuente con una VPN activada.",Soporte,VPN,solucion
El asesor no puede capturar el arrastre de lápiz en Power Apps.,Se sugiere validar en no deseados u otras carpetas y revisar la red del cliente.,Soporte,VALIDAR SPAM,solucion
"El asesor no puede realizar el envío de un estudio para retiro, se requiere asistencia para completar la operación.","Para poder apoyarte con el envío del estudio de retiro, compártenos el mensaje de error que se muestra en pantalla y el momento exacto en el que se presenta. Con esta información podremos orientarte con acciones específicas.",Soporte,ASESOR,asesor
El cliente no puede generar el EDR porque el sistema indica que ya es cliente Profuturo.,"Si el sistema identifica al cliente como Profuturo, el EDR debe integrarse desde el módulo de Clientes. Recordemos que el deber ser es realizar la captura en actividad PRO antes de realizar el tramite.",Soporte,ASESOR,asesor
"El cliente no recibe el correo con la liga de Landing page porque la cita fue agendada bajo el tipo de servicio 'Produce Registro', el cual no genera este enlace.",Es necesario validar que el origen de la cita sea el adecuado (Asesoría Digital Registro / traspaso). El tipo de cita 'Produce Registro / traspaso) nunca envía ni genera el Landing.,Soporte,VALIDAR ORIGEN,solucion
El cliente no recibe el folio de EDR ni por mensaje ni por correo después de registrarse en Pruduce.,validar bandeja de spam y correo no deseado,Soporte,VALIDAR SPAM,solucion
"El estado de una confirmación de EDR en Actividad Pro muestra 'CONSULTADO' y no el círculo pintado, a pesar de recibir la confirmación por correo.",Se solicita compartir una pantalla donde el asesor recibe la confirmacion de estudio entregado al cliente,Soporte,ASESOR,asesor
"El sistema indica que una CURP ya es cliente al intentar enviar un EDR, justo después de realizar un traspaso, impidiendo la finalización del proceso.","El mensaje de cliente no es un error sino una regla que indica la existencia de una cuenta individual certificada. Para proceder, se debe realizar el EDR desde el módulo 'Clientes' y notificar vía correo a estadística, con copia al correo de soporte powerapps",Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
El sistema no permite el envío del EDR.,"Si el sistema no permite el envío del EDR, valida que el correo electrónico esté correctamente escrito y sin espacios, y que cuentes con una conexión a internet estable antes de reintentar el envío.",Soporte,POSIBLE INTERMITENCIA,solucion
El sistema no permite generar EDR.,"Si el sistema no permite generar el EDR, valida que el dispositivo cuente con una conexión a internet estable y buena señal antes de reintentar el envío.",Soporte,VERIFICAR INTENSIDAD DE LA RED,solucion
"El sistema no permite realizar el EDR indicando que el cliente está en Profuturo cuando en realidad está en Banorte, solicitan apoyo para quitar la CURP y poder avanzar.",Favor de compartir la CURP del cliente para validar en nuestras bases si en efecto ya es cliente.,Soporte,ASESOR,asesor
El usuario está intentando mandar EDR y el sistema marca error.,Validar que el correo electrónico se encuentre correcto y no contenga ningún espacio.,Soporte,VALIDAR MAIL,solucion
El usuario no puede avanzar en un trámite por tercera vez.,Validar la red del dispositivo.,Soporte,VERIFICAR INTENSIDAD DE LA RED,solucion
El usuario no puede enviar EDR.,Compartenos mas detalle antes de escalar el caso a un asesor.,Soporte,ASESOR,asesor
El usuario no puede enviar EDR.,Verifica que el correo de destino esté correctamente escrito y que cuentes con una conexión a internet estable,Soporte,VALIDAR MAIL,solucion
El usuario no puede enviar EDR.,"Si no puedes enviar el EDR, valida que el correo del cliente esté correctamente capturado y sin errores, así como que cuentes con una conexión a internet estable. Una falla en la red o un correo mal escrito puede impedir el envío.",Soporte,VERIFICAR INTENSIDAD DE LA RED,solucion
El usuario no puede enviar un EDR a través de Actividad Pro debido a un error.,Validar que la dirección de correo electrónico no contenga espacios y esté correctamente escrita,Soporte,VALIDAR MAIL,solucion
El usuario no puede enviar un EDR porque el archivo aparece dañado.,"validar que el correo no cuente con un carácter invalido, enemplo que diga "".con"" en lugar de "".com""",Soporte,VALIDAR MAIL,solucion
"El usuario no puede enviar un estudio de retiro, recibiendo un mensaje de error a pesar de haber verificado la información del correo.","validar que el correo del cliente no cuente con un dato erróneo, ejemplo que cuente con un sepacio al principio o fin del correo",Soporte,POSIBLE INTERMITENCIA,solucion
El usuario no puede generar el 'Estudio'.,"Es necesario que compartas detalle del inconveniente (mensaje de error, paso donde se presenta). Con esta información se podrá canalizar el caso para atención especializada.",Soporte,POSIBLE INTERMITENCIA,asesor
