Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
"Buenos días saben si hay intermitencia en traspasos, no nos deja enviar el trámite",Favor de comunicar a través del canal correspondiente,Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
"Buenos días. Hay intermitencia en actividad pro? Nos dice que no se sincroniza. ""No se pudo sincronizar, intentar de nuevo""","Por el momento no es posible confirmar una intermitencia. Si aparece el mensaje ‘No se pudo sincronizar, intentar de nuevo’, valida que cuentes con una conexión a internet estable, reintenta la sincronización y vuelve a intentar la operación después de unos minutos.",Soporte,POSIBLE INTERMITENCIA,solucion
"El cliente no puede autenticarse en Actividad Pro, indica ser cliente",Registrarlo en el Módulo de Clientes  e informar el tema con el equipo de estadistica,Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
El sistema Traspasos Pro saca al usuario al momento de seleccionar la CURP.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
El trabajador  ya es cliente Profuturo y no se puede capturar en Actividad Pro para enviar su EDR.,"Capturar el trámite desde el módulo de clientes y realizar el EDR desde dicho módulo; posteriormente, enviar el caso al área de estadística y Afore para que determinen si es considerado.",Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
El usuario desea saber el estado de su solicitud de barrido/borrado de CURP.,"se debe compartir el caso con el área correspondiente ""enlace asesoria""",Nómina,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
El usuario está experimentando un error en Enlace Pro y necesita saber a qué se refiere.,"Se le indicó al usuario que el canal de soporte para su consulta es ""Enlace Asesoria"", ya que el soporte actual solo cubre temas de la APP de Actividad PRO.",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
El usuario experimenta intermitencia al intentar acceder a Traspasos Pro.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
El usuario necesita acceso a un enlace para realizar alguna acción.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
"El usuario necesita consultar el estatus de un tema que fue previamente rechazado y aceptado, y requiere agendar una nueva cita para verificar el estatus actual en Actividad Pro.",Es necesario reportar la pantalla de error en el grupo de Enlace Asesoría.,Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
El usuario necesita enviar su caso por un canal específico de Enlace Asesoría.,"se debe compartir el caso con el área correspondiente ""enlace asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
El usuario no identifica su CURP en los servicios y necesita saber cómo proceder.,Se sugiere reinstalar la aplicación para verificar si se refleja un estatus o avance del trámite y reportar cualquier incidencia en el grupo de enlace asesoría.,Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
El usuario no puede acceder al enlace Pro desde ayer.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
El usuario no puede firmar en la qpp.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
El usuario reporta que el sitio DE Enlace Asesoría no carga correctamente.,"se debe compartir el caso con el área correspondiente ""enlace asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
"Estamos batallando con la actividad comercial, saben si hay intermitencia","Por el momento no se tiene un reporte confirmado de intermitencia. Te sugerimos validar la conexión a internet, identificar en qué paso específico del proceso se presenta el inconveniente y reintentar",Soporte,POSIBLE INTERMITENCIA,solucion
"La aplicación de Traspasos PRO regresa a la misma pantalla al solicitar datos después de una actualización, a pesar de borrar caché y reiniciar.","Se debe escalar la petición al equipo de aforé, ya que ellos administran la aplicación.",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
