Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
"Al intentar registrar un contacto nuevamente después de haberlo eliminado, se muestra un mensaje de error.","Si al intentar registrar nuevamente el contacto se muestra un error, verifica primero que el registro haya sido eliminado correctamente utilizando los filtros avanzados en cada uno de los modúlos",Soporte,ELIMINAR REGISTRO DE LA APP,solucion
Amigos estamos teniendo intermitencia? No llegan los folios me podrían ayudar,"Por el momento no es posible confirmar una intermitencia. Si no estás recibiendo los folios, valida tus datos de contacto y prueba el envío por el canal alterno: si intentaste por SMS, reintenta por correo electrónico; si fue por correo, prueba por SMS para continuar con la operación.",Soporte,POSIBLE INTERMITENCIA,solucion
"El cliente puede ver saldos y está en carga apovol, pero al intentar registrarlo en CLIENTES, aparece el mensaje 'CURP CAPTURADA AÚN NO ES CLUENTE PROFUTURO'.","El mensaje mostrado hace referencia a que aún no es cliente profuturo, debe ser capturado por el módulo de prospectos",Soporte,CAPTURAR POR MODULO PROSPECTOS,solucion
El correo del cliente no permite avanzar.,Verificar que el correo del cliente no contenga espacios y esté correctamente escrito.,Soporte,VALIDAR MAIL,solucion
"El sistema no reconoce a un cliente  como cliente para realizar una aprobación extemporánea, a pesar de que ya tiene acceso al portal.","Recordemos que en ocaciones se demora en caer la informacion en las bases, puede demorar en verse reflejado hasta el siguiente día despues de la 1",Soporte,TIEMPO DE ESPERA,solucion
El usuario consulta si hay un retraso en los folios.,"verifica tu conexión o posibles incidencias con tu compañía telefónica. Como alternativa inmediata, puedes solicitar el envío del token por correo electrónico.",Soporte,POSIBLE INTERMITENCIA,solucion
"El usuario experimenta retraso en la recepción de SMS de verificación para la aplicación de Actividad PRO, a pesar de haber intentado otras vías.","se sugiere que el problema puede ser del proveedor telefónico, recomendando el envío de tokens vía correo electrónico",Soporte,POSIBLE INTERMITENCIA,solucion
El usuario experimenta un error al intentar colocar el RFC.,validar la intencidad de la red del dispositivo,Soporte,VERIFICAR INTENSIDAD DE LA RED,solucion
El usuario experimenta un error al registrar a un cliente.,"Recordemos que para todo trámite de recuperación, el deber ser es eliminar el registro antiguo y capturar el nuevo en Actividad PRO antes de concluir el tramite. 

Como recomendación, captura el registro en el módulo de clientes y con ayuda de tu gerente informa al equipo de estadística lo ocurrido, esto con el fin de tener afectaciones en el esquema de pago.",Soporte,ELIMINAR REGISTRO DE LA APP,solucion
"El usuario no está recibiendo el SMS de actividad pro, ni por correo electrónico.",Se solicitó al cliente implementar el protocolo de intermitencia (reiniciar el dispositivo o colocarlo en modo avión) Recordemos que si no es posible enviar el SMS se puede enviarl el token por email.,Soporte,POSIBLE INTERMITENCIA,solucion
