Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
A que se debe que en actividad pro no se sincronice los apovoles?,"puede deberse a una breve intermitencia o por la calidad de la Red, favor de compartir mas detalle del caso",Soporte,POSIBLE INTERMITENCIA,asesor
Al asesor  le aparece una pantalla en APOVOL de Actividad Pro que impide consultar o registrar el seguimiento de un apovol si el cierre no existe o está rechazado.,"Valida que la informacion capturada de la venta sea la correcta. (ejemplo: el origen, la periodicidad o el monto)",Soporte,REALIZAR SINCRONIZACIÓN,solucion
Buen día queremos capturar Apovol de un cliente pero nos dice que no es cliente nos apoyan,"Para capturar APOVOL, valida que la informacion del cliente esté correctamente capturada para su captura en el módulo de Clientes.
Si aun no es cliente, la captura es desde el modulo de cierres.",Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
Dónde debo realizar la captura del apovol ?,"Si el trabajador ya es cliente Profuturo, el APOVOL debe registrarse desde el módulo de Clientes. Valida el registro desde ese apartado.",Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
El cliente muestra un Apovol con estado incorrecto y se consulta si es un problema de sincronización o reporte.,Debe validar que toda la informacion capturada previamente sea la correcta,Soporte,VALIDAR DATOS,solucion
El cliente no permite cerrar el Apovol a pesar de ser un cliente Profuturo que ya realizó el proceso.,"Si el cliente ya es Profuturo y no permite cerrar el Apovol, valida que el trámite esté integrado desde el módulo de Clientes",Soporte,ASESOR,solucion
El cliente ya no cuenta con su información de contacto para registrar su apovol,es necesario que el cliente actualice su informacion para poder enviarle el TOKEN ya que la informacion se obtiene de la base de datos,Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
El proceso de sincronización se queda atascado y no permite programar apovol.,"Para ayudarte a programar tu Apovol, por favor indícame en qué paso exacto o con qué mensaje de error se muestra al realizar la sincronización.",Soporte,ASESOR,asesor
El sistema no permite capturar el apovol de clientes,Compartenos mas detalle antes de escalar el caso a un asesor.,Soporte,ASESOR,asesor
El trámite se rechaza en Actividad Pro y no permite capturar el Apovol después de haber sido recuperado y vuelto a capturar.,"Se debe eliminar el registro rechazado, volver a realizar el flujo de autenticación y validar que los origenes de la cita sean los correctos.",Soporte,ELIMINAR REGISTRO DE LA APP,solucion
"El usuario experimenta un error al intentar enviar el Apovol, solicitándole nuevamente el CURP y un código de verificación por mensaje de texto, lo cual no se completa.",Compartenos mas detalle antes de escalar el caso a un asesor.,Soporte,ASESOR,asesor
El usuario no puede capturar el apovol y solicita soporte.,Compartenos mas detalle antes de escalar el caso a un asesor.,Soporte,ASESOR,asesor
El usuario no puede sincronizar la apovol.,Comparte el mensaje de error,Soporte,ASESOR,asesor
