Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
El envío de EDR se encuentra detenido.,Compártenos el detalle para poder orientarte con acciones específicas antes de escalar el caso.,Soporte,POSIBLE INTERMITENCIA,asesor
El usuario experimenta intermitencias y caídas temporales del servicio.,"valida que cuentes con una conexión a internet estable y reintenta la operación después de unos minutos. En muchos casos, este comportamiento está relacionado con la red o la ubicación desde donde te conectas.",Soporte,POSIBLE INTERMITENCIA,solucion
"El usuario experimenta problemas de acceso y errores en Actividad Pro, intermitencias y caídas del sistema, retrasos y fallas en el envío de EDR y tokens, solicitudes de barrido/borrado de CURP, y problemas con la certificación y registro de Apovol.","Se le indica a la usuaria que levante un ticket a la OAU informando el cambio de puesto y solicitando el acceso correcto, ya que los gerentes ingresan con usuario CUSP. Una vez realizado el ajuste por la OAU, debería contar con la vista de gerente en Actividad Pro.",Soporte,POSIBLE INTERMITENCIA,asesor
El usuario no está recibiendo los tokens ni por correo electrónico ni por mensaje de texto para el acceso al landing page.,"Si no recibes el token por correo ni por mensaje, valida que cuentes con una conexión a internet estable y que tus datos de contacto estén correctamente capturados. Como alternativa, puedes solicitar el envío del token por correo electrónico para continuar con el acceso.",Soporte,POSIBLE INTERMITENCIA,solucion
"El usuario no recibe el token por correo electrónico ni SMS, a pesar de que el correo electrónico coincide.","Se solicitó al cliente implementar el protocolo de intermitencia (reiniciar el dispositivo o colocarlo en modo avión) y posteriormente, verificar la bandeja de correo no deseado o spam para localizar el token vía email.",Soporte,POSIBLE INTERMITENCIA,solucion
Hay intermitencia? No nos deja enviar EDR,"Por el momento no es posible confirmar una intermitencia. Si no permite enviar el EDR, valida que cuentes con una conexión a internet estable y que el correo esté correctamente capturado, y reintenta el envío después de unos minutos.",Soporte,POSIBLE INTERMITENCIA,solucion
Hay retraso en folios SMS con el CURPXXXXXXXXXXXXXX XXXXXX.,se sugiere realizar el protocolo de intermitencia,Soporte,POSIBLE INTERMITENCIA,solucion
Los usuarios no pueden acceder a Actividad Pro y reciben un mensaje de error.,"Si no puedes acceder a Actividad Pro y se muestra un mensaje de error, compártenos el texto exacto del mensaje para poder sugerirte acciones inmediatas antes de levantar un ticket",Soporte,POSIBLE INTERMITENCIA,solucion
"Seguimos sin recibir un folio de aviso de privacidad, se intentó por SMS y correo.
¿Tenemos intermitencia?",Por el momento no es posible confirmar una intermitencia. Valida que los datos de contacto estén correctamente capturados y que cuentes con una conexión a internet estable; reintenta el envío del folio después de unos minutos.,Soporte,POSIBLE INTERMITENCIA,solucion
Un asesor recién certificado no tiene acceso a la actividad Pro.,"Se solicita al usuario intentar nuevamente, validar que el correo del cliente no tenga espacios al principio o al final, o algún carácter inválido, y se informa que pudo haber sido una breve intermitencia.",Soporte,POSIBLE INTERMITENCIA,solucion
Validar que se tenga acceso a las aplicaciones después de una posible intermitencia.,No aplica,Soporte,POSIBLE INTERMITENCIA,asesor
Validar si un problema que se está presentando es a causa de la red.,Es posible que se trate de una intermitencia momentánea. Valida la intensidad y estabilidad de tu red y realiza el protocolo de intermitencia antes de reintentar la operación.,Soporte,POSIBLE INTERMITENCIA,solucion
"en otro canal nos confirman intermitencia en RENAPO, podemos continuar con la producción y enviar EDR más tarde?",Por el momento no es posible confirmar el impacto de ese servicio en la operación de la aplicación. Te sugerimos validar el comportamiento directamente en el flujo que estás realizando y esperar la indicación correspondiente del área responsable antes de continuar con la producción.,Soporte,POSIBLE INTERMITENCIA,asesor
"estamos teniendo temas en Actividad Pro, no nos deja avanzar, me pueden apoyar a informarme si tiene que ver con la intermitencia de RENAPO o es otra cosa?","Por el momento no es posible confirmar si el comportamiento está relacionado con RENAPO u otro servicio. Te sugerimos validar en qué paso específico del flujo no permite avanzar y revisar que la información esté correctamente capturada; con ese contexto, el caso podrá canalizarse para su revisión.",Soporte,POSIBLE INTERMITENCIA,asesor
tenemos intermitencia ?,"En qué proceso se presenta el inconveniente (EDR, token, folio, cierre, acceso) y qué mensaje de error se muestra en pantalla? Con ese contexto es posible orientarte mejor.",Soporte,POSIBLE INTERMITENCIA,solucion
"tengo varios asesores reportando problemas al enviar el EDR, ¿tenemos intermitencia ?","Por el momento no es posible confirmar una intermitencia. Te sugerimos validar que los asesores cuenten con una conexión a internet estable, que el correo esté correctamente capturado y que reintenten el envío del EDR después de unos minutos.",Soporte,POSIBLE INTERMITENCIA,solucion
